1720051200000,60208.57000000,60498.19000000,57800.01000000,59102.00000000,13491.78125000,1720065599999,795033437.90988160,661619,6204.99445000,365456415.20793730,0
1720065600000,59102.00000000,59150.00000000,58104.00000000,58219.99000000,4995.15301000,1720079999999,293224630.53923180,265818,2181.67690000,128106612.82638800,0
1720080000000,58219.99000000,58506.18000000,56952.00000000,57761.94000000,13240.07067000,1720094399999,763620812.07698950,486641,5839.90471000,336879497.52754200,0
1720094400000,57761.95000000,58350.19000000,56771.00000000,58140.00000000,12117.63525000,1720108799999,694974758.37434770,508809,5947.07779000,341146538.14717080,0
1720108800000,58140.00000000,58676.24000000,57752.27000000,58283.62000000,5009.28193000,1720123199999,291545864.80274980,268481,2381.71767000,138642211.28636220,0
1720123200000,58283.62000000,58813.13000000,56866.00000000,57050.01000000,5714.85065000,1720137599999,330220252.54044810,331868,2427.61670000,140278333.68502140,0
1720137600000,57050.02000000,57546.00000000,55000.00000000,55227.99000000,18842.91117000,1720151999999,1059638273.97008150,968870,8381.28514000,471432152.17260380,0
1720152000000,55228.00000000,55356.42000000,53485.93000000,54415.05000000,18348.50944000,1720166399999,996801375.15352730,728782,8829.50505000,479672837.20496700,0
1720166400000,54415.04000000,55650.00000000,53900.00000000,55486.50000000,14058.05864000,1720180799999,770487207.47238510,591527,6524.51542000,357651687.91492450,0
1720180800000,55486.51000000,56678.19000000,54828.52000000,56662.00000000,16600.37842000,1720195199999,925227857.05510790,673738,8085.25186000,450778174.33830650,0
1720195200000,56662.99000000,57040.02000000,55779.33000000,56465.42000000,10590.10229000,1720209599999,598369659.98346130,595198,4740.90566000,267919026.02223410,0
1720209600000,56465.41000000,56866.00000000,56315.00000000,56628.79000000,2908.28760000,1720223999999,164515709.90195180,191140,1365.18849000,77228126.86364620,0
1720224000000,56628.79000000,56998.00000000,56170.50000000,56410.00000000,4430.41318000,1720238399999,250230752.43376480,274024,1866.16473000,105425731.03446080,0
1720238400000,56409.99000000,56683.90000000,56018.00000000,56606.00000000,3090.15552000,1720252799999,174279415.61802130,210809,1780.59982000,100428359.06883810,0
1720252800000,56606.00000000,56876.33000000,56436.78000000,56731.42000000,2361.38025000,1720267199999,133783804.60729770,208905,1096.87876000,62148369.01074590,0
1720267200000,56731.42000000,57441.10000000,56500.00000000,57317.98000000,4879.13871000,1720281599999,277952666.74078790,256404,2694.51826000,153538742.39012140,0
1720281600000,57317.99000000,58113.00000000,57185.76000000,57857.99000000,4272.51181000,1720295999999,246994015.76228450,256228,2316.93418000,133939063.36458950,0
