open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume
2025-05-22 00:00:00,109609.6,111866.4,109153.4,111755.9,64755.016,2025-05-22 03:59:59.999,7152881378.3264,1141800,33541.748,3706879329.6753
2025-05-22 04:00:00,111755.9,111776.3,110433.0,111005.8,47573.709,2025-05-22 07:59:59.999,5283809153.5927,772821,23544.324,2614915125.4597
2025-05-22 08:00:00,111005.8,111303.8,110238.5,110944.1,32748.467,2025-05-22 11:59:59.999,3625242174.3016,610969,17443.403,1931140780.7509
2025-05-22 12:00:00,110944.0,111582.5,110492.8,111250.6,49945.987,2025-05-22 15:59:59.999,5548988143.2534,1034057,24137.66,2681769912.7407
2025-05-22 16:00:00,111251.0,111959.5,110860.5,111136.1,34534.378,2025-05-22 19:59:59.999,3850180946.727,706679,17340.527,1933310392.5751
2025-05-22 20:00:00,111136.2,111692.9,110704.1,111662.7,16509.476,2025-05-22 23:59:59.999,1834614279.1007,346050,8607.328,956496367.8612
2025-05-23 00:00:00,111662.6,111770.4,110958.5,111044.0,22959.44,2025-05-23 03:59:59.999,2556933743.6144,447788,11012.47,1226360611.1591
2025-05-23 04:00:00,111044.0,111143.3,110351.5,110685.2,23761.569,2025-05-23 07:59:59.999,2629499912.7078,433096,11802.878,1306166738.7801
2025-05-23 08:00:00,110685.3,111348.0,108816.0,109033.2,45137.26,2025-05-23 11:59:59.999,4972626318.2719,709198,20972.703,2311143248.8177
2025-05-23 12:00:00,109033.2,109969.6,107250.0,108892.4,108855.124,2025-05-23 15:59:59.999,11845545563.4163,1847561,54631.162,5944234584.8017
2025-05-23 16:00:00,108892.5,109760.0,107950.0,108659.4,46212.629,2025-05-23 19:59:59.999,5031400574.7744,859715,22619.185,2463264028.3249
2025-05-23 20:00:00,108659.5,108677.2,106721.9,107271.5,32554.325,2025-05-23 23:59:59.999,3507703146.659,646004,15408.289,1660501111.2514
2025-05-24 00:00:00,107271.6,108330.6,106836.0,108306.8,24382.839,2025-05-24 03:59:59.999,2623992936.4628,517132,13509.897,1454228995.9639
2025-05-24 04:00:00,108306.7,108520.0,107520.0,107550.6,21546.444,2025-05-24 07:59:59.999,2327511097.9566,399563,9321.536,1006906019.8091
2025-05-24 08:00:00,107550.7,109440.2,107546.1,109152.2,34423.684,2025-05-24 11:59:59.999,3740559834.1931,601241,16728.807,1817294689.9482
2025-05-24 12:00:00,109152.2,109227.1,108495.8,108889.2,29417.399,2025-05-24 15:59:59.999,3202149809.611,468796,14492.522,1577528066.9749
2025-05-24 16:00:00,108889.1,109165.8,108647.1,108912.7,18957.367,2025-05-24 19:59:59.999,2063927440.3954,287883,9639.369,1049485085.5532
