entry_time,exit_time,side,entry_price,exit_price,entry_funding,bars_held,pnl_pct,exit_reason
2024-03-13 03:00:00+00:00,2024-03-16 19:00:00+00:00,SHORT,72135.8,66969.1,0.00033224,20,7.082463021135132,profit_target
2024-03-12 03:00:00+00:00,2024-03-16 19:00:00+00:00,SHORT,71673.4,66969.1,0.0004447,26,6.483522869014152,profit_target
2024-03-24 19:00:00+00:00,2024-03-25 19:00:00+00:00,SHORT,65886.8,67863.40400000001,0.00015884,5,-3.08000000000001,stop_loss
2024-03-21 11:00:00+00:00,2024-03-25 19:00:00+00:00,SHORT,67082.3,69094.769,0.00019304,25,-3.0799999999999956,stop_loss
2024-03-31 11:00:00+00:00,2024-04-02 19:00:00+00:00,SHORT,70442.6,65946.8,0.00039889,10,6.302217578567519,profit_target
2024-03-30 11:00:00+00:00,2024-04-02 19:00:00+00:00,SHORT,70237.1,65946.8,0.00032267,16,6.028310280464316,profit_target
2024-03-29 11:00:00+00:00,2024-04-02 19:00:00+00:00,SHORT,70182.9,65946.8,0.00025456,22,5.955800743485937,profit_target
2024-03-28 11:00:00+00:00,2024-04-02 19:00:00+00:00,SHORT,70707.7,65946.8,0.00029899,28,6.653212931547758,profit_target
2024-03-27 03:00:00+00:00,2024-04-02 19:00:00+00:00,SHORT,70445.1,65946.8,0.00028757,35,6.305539945290733,profit_target
2024-03-26 03:00:00+00:00,2024-04-02 19:00:00+00:00,SHORT,70473.8,65946.8,0.00021963,41,6.343663829678547,profit_target
2024-04-01 19:00:00+00:00,2024-04-08 11:00:00+00:00,SHORT,69682.1,71772.56300000001,0.00027469,36,-3.080000000000005,stop_loss
2024-04-09 03:00:00+00:00,2024-04-12 19:00:00+00:00,SHORT,71339.0,66867.5,0.00020915,17,6.187960021867422,profit_target
2024-04-11 03:00:00+00:00,2024-04-13 19:00:00+00:00,SHORT,70900.5,64779.1,0.00013979,15,8.55378960656131,profit_target
2024-04-26 11:00:00+00:00,2024-04-29 03:00:00+00:00,LONG,64213.6,62287.191999999995,6.85e-06,15,-3.080000000000005,stop_loss
2024-04-28 19:00:00+00:00,2024-04-29 15:00:00+00:00,LONG,63688.9,61778.233,2.782e-05,5,-3.080000000000002,stop_loss
2024-04-27 19:00:00+00:00,2024-04-30 11:00:00+00:00,LONG,63329.8,61429.906,2.834e-05,16,-3.0800000000000005,stop_loss
2024-05-12 03:00:00+00:00,2024-05-15 15:00:00+00:00,LONG,60902.5,64685.5,2.604e-05,18,6.131567669635894,profit_target
2024-05-15 11:00:00+00:00,2024-05-15 19:00:00+00:00,LONG,62447.4,65959.6,-3.85e-06,2,5.544253371637577,profit_target
2024-05-20 11:00:00+00:00,2024-05-20 19:00:00+00:00,LONG,66974.0,69996.4,2.479e-05,2,4.432796010392083,profit_target
2024-05-22 11:00:00+00:00,2024-05-29 15:00:00+00:00,SHORT,69770.3,67421.0,0.00015759,42,3.2871920573653877,time_limit
2024-05-31 03:00:00+00:00,2024-06-04 19:00:00+00:00,SHORT,68574.0,70631.22,0.00014599,27,-3.080000000000002,stop_loss
2024-06-03 11:00:00+00:00,2024-06-05 03:00:00+00:00,SHORT,69125.5,71199.265,0.00014135,10,-3.079999999999999,stop_loss
2024-06-05 11:00:00+00:00,2024-06-11 15:00:00+00:00,SHORT,71008.4,66266.0,0.00016387,32,6.598646469995092,profit_target
2024-06-19 19:00:00+00:00,2024-06-24 03:00:00+00:00,LONG,64851.3,62905.761,2.967e-05,26,-3.0800000000000067,stop_loss
2024-06-23 11:00:00+00:00,2024-06-24 11:00:00+00:00,LONG,64310.7,62381.37899999999,2.307e-05,5,-3.080000000000006,stop_loss
2024-08-14 19:00:00+00:00,2024-08-15 19:00:00+00:00,LONG,58854.0,57088.38,-7.811e-05,6,-3.0800000000000045,stop_loss
