open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-05-27,109434.78,110718.0,107516.57,108938.17,21276.65635,2025-05-27 23:59:59.999999,2327603851.119265,3735509,9969.89271,1090553624.461599,0.0
2025-05-28,108938.17,109284.7,106769.43,107781.78,15633.78829,2025-05-28 23:59:59.999999,1689136748.5130312,2933262,6877.27341,743282966.7207197,0.0
2025-05-29,107781.78,108891.91,105322.86,105589.75,19834.70116,2025-05-29 23:59:59.999999,2128639017.5081615,3774926,9457.49356,1015173771.5489898,0.0
2025-05-30,105589.75,106313.12,103621.0,103985.48,23706.49799,2025-05-30 23:59:59.999999,2493078549.591861,4307572,11070.98746,1164158558.6435854,0.0
2025-05-31,103985.47,104900.0,103068.55,104591.88,11289.35922,2025-05-31 23:59:59.999999,1174000801.507038,2343787,5278.95175,548980630.8493577,0.0
2025-06-02,105642.93,105935.63,103659.88,105857.99,13453.98813,2025-06-02 23:59:59.999999,1409004206.9863732,2997656,6494.65497,680177826.6144172,0.0
2025-06-03,105858.0,106794.67,104872.5,105376.89,13259.52634,2025-06-03 23:59:59.999999,1402493746.5993218,2470698,6260.22436,662160926.8241225,0.0
2025-06-04,105376.9,106000.0,104179.0,104696.86,14034.89482,2025-06-04 23:59:59.999999,1476928482.368878,2274464,6979.9491,734803757.4185839,0.0
2025-06-05,104696.86,105909.71,100372.26,101508.68,22321.50154,2025-06-05 23:59:59.999999,2301567892.5305448,3963295,10005.36019,1031668517.0427113,0.0
2025-06-06,101508.69,105333.0,101095.8,104288.44,15839.07385,2025-06-06 23:59:59.999999,1642382404.9355752,2709327,7655.60679,793575821.4357933,0.0
2025-06-07,104288.43,105900.0,103871.09,105552.15,8344.93206,2025-06-07 23:59:59.999999,877915380.954823,1402494,3970.01912,417664199.1912712,0.0
2025-06-08,105552.15,106488.14,104964.14,105734.0,8048.06305,2025-06-08 23:59:59.999999,850887129.4282976,1295154,4361.42266,461098506.088324,0.0
2025-06-09,105734.01,110530.17,105318.37,110263.02,19975.37451,2025-06-09 23:59:59.999999,2154922022.221173,2839846,10623.88217,1146790065.5135615,0.0
2025-06-10,110263.02,110400.0,108331.03,110274.39,17071.82839,2025-06-10 23:59:59.999999,1867620550.1921728,3003420,8009.29581,876411274.3969488,0.0
2025-06-11,110274.39,110392.01,108064.0,108645.12,13115.91638,2025-06-11 23:59:59.999999,1434884639.7506304,2667014,6030.96867,659947218.0033869,0.0
2025-06-12,108645.13,108813.55,105671.72,105671.73,17778.67218,2025-06-12 23:59:59.999999,1908309274.0868344,3517420,8291.22648,890420511.4704415,0.0
2025-06-13,105671.74,106179.53,102664.31,106066.59,26180.81734,2025-06-13 23:59:59.999999,2735461890.6929703,5452577,12793.70705,1337300355.9952192,0.0
2025-06-14,106066.59,106252.0,104300.0,105414.64,8798.93969,2025-06-14 23:59:59.999999,925568614.1784064,1521776,3848.55498,405001275.9262716,0.0
2025-06-15,105414.63,106128.57,104494.53,105594.01,7164.20047,2025-06-15 23:59:59.999999,754596887.8748003,1564768,3356.46912,353608577.6853774,0.0
2025-06-16,105594.02,108952.38,104980.37,106794.53,14922.6654,2025-06-16 23:59:59.999999,1599849840.7325244,2928998,7442.34921,797865030.1366178,0.0
2025-06-17,106794.53,107771.34,103371.02,104551.17,17866.33025,2025-06-17 23:59:59.999999,1883173484.8991,3723010,8082.6529,852365443.211356,0.0
2025-06-18,104551.17,105550.27,103500.0,104886.78,13968.64167,2025-06-18 23:59:59.999999,1461383024.362209,3468170,6656.31474,696386846.6904296,0.0
2025-06-19,104886.79,105226.17,103929.27,104658.59,7678.60737,2025-06-19 23:59:59.999999,803402575.962045,1718045,3583.19736,374871407.41073346,0.0
2025-06-20,104658.59,106524.65,102345.0,103297.99,16419.06283,2025-06-20 23:59:59.999999,1714411911.0114017,3029404,7113.97039,743649283.0800211,0.0
2025-06-21,103297.98,103982.64,100837.9,102120.01,11154.21332,2025-06-21 23:59:59.999999,1144829784.7306418,2172578,4632.93703,475270667.42267615,0.0
2025-06-22,102120.02,103399.62,98200.0,100963.87,28746.41072,2025-06-22 23:59:59.999999,2892695407.808688,5121309,13142.02965,1322387353.31664,0.0
2025-06-23,100963.87,106074.2,99613.33,105333.93,27666.50609,2025-06-23 23:59:59.999999,2836166831.044449,4944207,13408.20163,1375654853.258466,0.0
2025-06-24,105333.94,106290.0,104622.02,106083.0,14651.69335,2025-06-24 23:59:59.999999,1543451113.4563613,2973481,6848.32158,721631005.2893264,0.0
2025-06-25,106083.0,108135.3,105808.03,107340.58,16701.15551,2025-06-25 23:59:59.999999,1789545470.94629,2988892,8576.13709,919352853.806412,0.0
2025-06-26,107340.59,108272.45,106562.5,106947.06,10573.27279,2025-06-26 23:59:59.999999,1136093974.6816013,2597742,4983.08998,535471528.1944927,0.0
2025-06-27,106947.06,107735.34,106356.76,107047.59,12232.44042,2025-06-27 23:59:59.999999,1308420348.9100096,2304499,4862.2801,520251258.3787664,0.0
2025-06-28,107047.58,107577.75,106811.51,107296.79,3282.17352,2025-06-28 23:59:59.999999,352025390.60311353,653305,1514.41959,162441164.0132396,0.0
2025-06-29,107296.79,108528.5,107172.52,108356.93,6831.7364,2025-06-29 23:59:59.999999,736708189.9495683,1223202,3771.10895,406653127.0920804,0.0
2025-06-30,108356.93,108789.99,106733.33,107146.5,9754.12491,2025-06-30 23:59:59.999999,1050407152.345058,1773485,4331.3813,466474537.7882122,0.0
2025-07-02,105681.13,109730.0,105100.19,108849.6,17691.89592,2025-07-02 23:59:59.999999,1915699005.8772895,2444708,9248.43029,1002261738.2088752,0.0
